Seq,Year,Region,myVar,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D
111,2002,Alvar,1.556920036,1.048808848,1.669431041,7.665181015,7.844870936,1.591740043,0.0072,0.0036,0.0036
112,2002,Alvar,1.606860293,1.089954127,1.865743819,7.756352235,7.977593622,1.711763617,0.0072,0.0036,0.0036
113,2002,Alvar,1.261348485,0.979795897,1.596558799,7.252034197,7.42569862,1.629481001,0.0072,0.0036,0.0036
114,2002,Alvar,1.623576299,1.02420701,1.723368794,5.873159286,6.120784263,1.682637178,0.0072,0.0036,0.0036
115,2002,Alvar,1.636459593,0.962808392,1.542076522,6.769268794,6.942694002,1.601644247,0.0072,0.0036,0.0036
116,2002,Alvar,1.441873781,1.049761878,1.718429516,7.7860131,7.973393255,1.636970776,0.006,0.0036,0.0024
117,2002,Alvar,1.47817455,1.014396372,1.591225942,7.508595075,7.675350155,1.568643171,0.006,0.0036,0.0024
118,2002,Alvar,1.457394936,1.031988372,1.577973384,7.392631467,7.559166621,1.529061205,0.006,0.0036,0.0024
119,2002,Alvar,1.586505594,1.053090689,1.662227421,7.863777718,8.037536936,1.578427611,0.006,0.0036,0.0024
120,2002,Alvar,1.582719179,1.080277742,1.79276323,7.817736245,8.020660821,1.659539173,0.006,0.0036,0.0024
121,2002,Alvar,1.161464593,0.866025404,1.62603813,7.398648525,7.575222769,1.877587104,0.0067,0.0035,0.0032
122,2002,Alvar,1.380579588,0.84083292,1.60530371,7.339891007,7.513388051,1.909182753,0.0067,0.0035,0.0032
123,2002,Alvar,1.158015544,0.970051545,1.545639026,7.422263806,7.581490619,1.593357626,0.0067,0.0035,0.0032
124,2002,Alvar,1.31072499,0.935414347,1.526106156,7.320724008,7.478101363,1.631476106,0.0067,0.0035,0.0032
125,2002,Alvar,1.315674732,0.995991968,1.601561738,6.993997426,7.175026132,1.60800668,0.0067,0.0035,0.0032
126,2002,Alvar,1.369306394,0.918150314,1.36381817,8.287038072,8.398511773,1.485397487,0.0073,0.0034,0.0039
127,2002,Alvar,1.31605471,0.889943818,1.618023486,8.230613586,8.388146398,1.818118686,0.0073,0.0034,0.0039
128,2002,Alvar,1.297304899,0.937549999,1.650757402,7.603683318,7.780809727,1.760713993,0.0073,0.0034,0.0039
129,2002,Alvar,1.20706255,0.833066624,1.664932431,8.475907031,8.637881685,1.998558558,0.0073,0.0034,0.0039
130,2002,Alvar,1.094074952,0.811171992,1.626960356,8.016171156,8.179608793,2.005690991,0.0073,0.0034,0.0039
131,2002,Alvar,1.428985654,1.066770828,1.619876539,7.141708479,7.323114092,1.518485973,0.0067,0.0034,0.0033
