Seq,xObs,yObs
471,1.317573527,5.962465933
472,1.523811012,8.268252536
473,1.623884232,6.854852296
474,1.005484958,5.324283989
475,1.099545361,5.897541861
476,1.023230179,6.143695956
477,1.129158979,6.413501384
478,1.052140675,6.157272123
479,1.366747965,6.288561044
480,1.092245394,6.482746332
481,1.252597302,5.892028513
482,1.363084737,6.009991681
483,1.126942767,5.906267857
484,0.801249025,5.505361024
485,1.344247001,6.156622451
486,1.359411637,6.830958937
487,1.357939616,5.427246079
488,1.189537725,6.889049281
489,1.367113748,6.808670942
490,1.189537725,6.643041472
491,1.000499875,4.35580073
492,1.1823705,4.817572003
493,1.622343983,5.949201627
494,1.577339532,6.130334412
495,1.402497772,5.280435588
496,1.505656003,5.007394532
497,1.316814338,5.022250492
498,0.95760117,4.676430262
499,0.805605362,4.46295866
500,1.106345335,4.401363425
501,1.359779394,5.068037095
502,0.969020124,4.753104249
503,0.91214034,3.697972417
504,0.816088231,3.64280112
505,0.984377976,4.313235445
506,1.6486358,8.146533005
507,1.089495296,6.619441064
508,1.221474519,7.110344577
509,1.098180313,6.503306851
510,1.588395417,8.209933008
511,1.263724654,5.987152913
512,1.112205017,5.698245344
513,1.096357606,6.153698075
514,1.199166377,5.312344115
515,1.013410085,5.949537797
516,1.229634092,6.637620055
517,1.226784415,6.288879073
518,1.280624847,6.67143163
519,0.939680797,6.646201923
520,1.336038922,6.781002876
521,1.168332145,6.697536861
522,1.293445012,6.401249878
523,1.178982612,6.679670651
524,1.258173279,6.274551777
525,1.288409873,6.800147057
526,1.151520734,6.551030453
527,2.000249984,6.359323863
528,1.158878768,4.794475988
